# 更新标记: 2025-11-13 21:52:43
央视频道,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20251114040022ed0076273d4d4e989d78545942a81932&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7ba924ef601e012f345370fdbc102ac8&ddCalcu=87cbeaa129802014cebfd6f0017e3051423f
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202511140400222dfe7e5fa8ad4cc6bc73c8f262b3ad9b&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f6c5eccbf2097e1c0cfdacbcd46098e4&ddCalcu=4fe6e8c19510e06c4cdbcfb2c0a9d7fec10c
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20251114040022c37e88c3bc314513ad08da535fb1bb91&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=16aaf87c427be245b2435031edd70ada&ddCalcu=a1d6eaa10a47f0d8d7ec1432075b3e4224b5
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202511140400224d6b299e9ccf498e8c150414dbe39d7f&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=acd871e4b003ffb7ba420c859c432889&ddCalcu=9a8ce8d128137041ce945b80c0032f4fabb7
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=202511140400223d716d40a9bc40b3986ad0afc27b4f1e&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c804bf317780e96fe096fcf388a66f05&ddCalcu=5c08ef016416b0af838137f7c8f06e9906ef
CCTV5+,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202511140400224d451d9d8676412ba193691c5f279e92&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=fc940c93b6056e400ff55005e6ee4c09&ddCalcu=9f0cec91441e00ec69e35b06005556fef400
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=20251114040022ebd3cc399bf94eee888c7c492e16d0dc&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=fae61ef2c864db0aa564262d208dd2a8&ddCalcu=8faae2e1d64d108e0f22dc2866244d6b50aa
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=20251114040022c616e6ae5e4d42d5a482696ddae6b160&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251114040022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20251114040022&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c88f75c414b216bfa55d71bddd63d97e&ddCalcu=ec78e981df337065dcd4d1b41b72d1565baf
CCTV8,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202511140400238650e90e5db840babcb44f6f586187f0&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=72432e12db2c760c1b894eef9d73bb78&ddCalcu=8772eb41b343207ed192fdebe24c9786b01c
CCTV9,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20251114040023c26e618fb61c46289298b69da22cbefd&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3f758cd5d77c2a3a1433feebaa8cb2f3&ddCalcu=33ffe271b53c808cada5bde7e7fc323a431a
CCTV10,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=202511140400236f7af96a904949f6b1d22918819260e3&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a4953a12934f0d6bf062ad51a369d28e&ddCalcu=ea84e291d549306a31a21953d4af206d06fb
CCTV11,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=2025111404002349007f49ba4d40f896383a514b72cf6f&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=09330637e5609dbe7e57c740c98ecef1&ddCalcu=10f9ee31c37e008693c70e4576c0795deb7e
CCTV12,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=20251114040023dfd8d31f187f4c1babf750ca9935f75f&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6008b5a9b3f577e6817d8119c16a9748&ddCalcu=8640e701983ab0651ac99b131f85d7771e86
CCTV13,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20251114040023d7f06bac378f46e09760fd78cd81e3b8&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=da294985e3ce15d57f0eafce970f676c&ddCalcu=cd6ae721698f40097895eec3fcaee105fd75
CCTV14,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=20251114040023c1b0124d1f7f44a182cfd1bc311352c6&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=431e19878e07cb76b8337e1c282fc770&ddCalcu=0473e711ce4f10298827c81ee0773c3b87b6
CCTV15,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20251114040023a352fe1a20a34aa5b0874ca16e08c8c6&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5a79a1ed7014416af201604d4e3fe3bf&ddCalcu=f5bae371e93fa031ee4dd7400164140126fa
CCTV16,http://223.198.242.65:4000/rtp/239.253.64.251:5140
CCTV17,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=202511140400233ec3749a9fa944d1a8bd9fe0fe548dd0&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20251114040023&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=106.13.250.90&SecurityKey=20251114040023&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5b043fcf26a742daaba053755088fa73&ddCalcu=357bea01f438308f0c5f52763a5704a2bdaa
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTVnews,http://183.11.239.36:808/hls/34/index.m3u8
CCTV风云剧场,https://live.tv.darwinchow.com/channel/fengyunjuchang?livekey=01WVAWIUhZtD6WsM29qOP0HxvesXET4dI8OE6&userkey=c34a17e0469d52f6
CCTV兵器科技,http://183.11.239.36:808/hls/21/index.m3u8
CCTV第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV世界地理,http://sh.lnott.top:880/dx72.m3u8
CCTV风云音乐,https://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
CCTV女性时尚,http://sh.lnott.top:880/dx105.m3u8
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV文化精品,http://sh.lnott.top:880/dx104.m3u8
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
CCTV电视指南,http://ygbh.site/php/bfgd.php?id=164
CCTV游戏风云,http://8.138.7.223/tv/migu.php?id=yxfy
CCTV中国天气,http://ygbh.site/php/bfgd.php?id=160
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV书画,http://211.103.180.178:8233/live_hls/hdmi.m3u8
CCTV4K,http://114.100.195.26:4022/rtp/238.1.78.137:6968
CCTV西班牙语,http://8.138.7.223/tv/migu3.php?id=cgtne
CCTV法语,http://8.138.7.223/tv/migu3.php?id=cgtnf
CCTV阿拉伯语,http://8.138.7.223/tv/migu3.php?id=cgtna
CCTV俄语,http://8.138.7.223/tv/migu3.php?id=cgtnr
CCTV-电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV-风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV-怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV-女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV-世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CCTV11066600,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV8K,https://epg.pw/stream/03c4235354d13b770d8e73319f59fa94690cdad24b4c6f8f6c349738b3709be3.m3u8
CCTV高尔夫网球,http://kkk.888.3116598.xyz/api.php?n=tttt&id=iqDhWW&tk=FgM0vQMejxvG
